NO,Question,Opt_A,Opt_B,Opt_C,Opt_D,Answer,Standard
246,"In Wet Visible Contrast Inspection Method, White Contrast Paint Is Applied _____ Inches On Both Side Of HWDP Center Pads.",10”,"12""","14""","18""",B,DS-1
247,"In Kelly Inspection, The Box & Pin Tong Space (Excluding The OD Bevel) Shall Be Atleast _____ Inches","5""","8""","10""","15""",B,DS-1
248,In Post Marking Of Kelly The Paint Band Shall Be ____ Inch Wide.,1 inch,2 inches,4 inches,5 Inches,B,DS-1
249,"The Face Of Tool Joint Box Shall Be Minimum Of _____ Inch,","1/32""","1/8""","5/32""",None of these,C,DS-1
250,Any Voids Or Holes In The Weld Material Greater Than ____   Inch In Diameter Are Rejectable,"1/16""","3/16""","5/16""","1/8""",A,DS-1
251,Minimum Fish Neck Length Is _____ If Stabilizer Connection OD Is Greater Than 8 Inches,"12""","15""","18""","20""",C,DS-1
252,According To Ring Gauge Blade Inspection The Gaps Between The Gauge And The Blades Shall Not Exceed ____ Or The  Tool Shall Be Rejected,"1/16""","1/8""","3/16""","1/4""",A,DS-1
253,In Sub Inspection The Minimum Dimensional Tong Space     Shall Be ____ Inches.,"5""","7""","9""","11""",B,DS-1
254,Box Swell Shall Not Be Exceeded Upto: ,"1/32""","1/16""","5/32""","1/8""",A,DS-1
255,The Instrument That Is Used To Check The Strength Of Magnetic Field Is,Pie Guage ,Magnetometer,Pit Guage,Multimeter,B,DS-1
256,In Full Length Ultrasonic Inspection The Frequency Of Inspection Ranges Between ____ To _____:,1 Hz to 5Hz,1MHz to 3MHz,1MHz to 5MHz,1MHz to 10MHz,C,DS-1
257,DAC Is Abbreviated As:,Distance amplitude correction,Distance amplitude curve,Direct amplitude curve,None of these,A,DS-1
258,The FLUT 2 Unit Shall Be Field Standardized After Every ____ Of Continuous Inspection:,2 Hrs,4 Hrs,12Hrs,24 Hrs,B,DS-1
259,Minimum Remaining Wall Thickness For Premium Class Normal Weight Drill Pipe Is,Greater than & equal to 90%,Greater than & equal to 80%,Greater than & equal to 70%,Greater than & equal to 60%,B,DS-1
260,Diameter Reduction In Ultra Class Normal Weight Drill Pipe Is Acceptable,Less than & equal to 2% of specified OD,Less than & equal to 3% of specified OD,Less than & equal to 4% of specified OD,Less than & equal to 5% of specified OD,A,DS-1
261,Surface Imperfection Depth In Class 2 NMDP Is,Less than & equal to 5% of Avg. Adjacent wall,Less than & equal to 10% of Avg. Adjacent wall,Less than & equal to 15% of Avg. Adjacent wall,Less than & equal to 20% of Avg. Adjacent wall,D,DS-1
262,Minimum Remaining Wall Thickness For Ultra Class Thick Walled Drill Pipe Is,Greater than & equal to 95%,Greater than & equal to 90%,Greater than & equal to 85%,Greater than & equal to 80%,A,DS-1
263,Recommended Inspection Programs For CAT 2 Of Drill Pipe Tube Is,Visual tube,OD Gauge,UT Wall Thickness,All of above,D,DS-1
264,Which One Of The Following Is Not A BHA Component,Drill collars,Heavy weight Drill pipes,Normal weight Drill pipes,Mud motors,C,DS-1
265,"The Category That Applied To Shallow, Very Routine Wells In Developed Areas Is",Category 1,Category 2,Category 3,Category HDLS,A,DS-1
266,Recommended BSR Range For Drill Collar With OD Greater Than 8 Inches Is,1.8 to 2.5,2.25 to 2.75,2.5 to 3.2,3.2 to 4.2,C,DS-1
267,In System International The Unit Of Energy Is,Watt,Joule,Tesla,Newton,B,DS-1
268,Which Table Has Define The All 33 Inspection Methods,2,2.1,2.2,2.3,B,DS-1
269,Which Table Recommended Inspection Programs For Drill Pipe?,2,2.1,2.2,2.3,C,DS-1
270,The Post Inspection Marking For Field Repair Is,Red,Yellow,Blue,Green,D,DS-1
271,If Drill Pipes Are Classified In Ultra Category What Color Band Would Be Marked On It? ,Yellow,Blue,White,Green,B,DS-1
272,The First Edition Of DS-01 Was Published In December ______:,1991,1992,1993,1995,B,DS-1
273,DEA Stands For,Drug enforcement Agency,Drilling equipment association,Drilling engineers association,None of these,C,DS-1
274,"When A Small Diameter Tube Is Placed In A Glass Of Water, Water Rises In The Tube To A Level Above The Adjacent Surface. This Is Called:",Viscosity,Capillary action,Surface tension,Barometric testing,B,Penetrant Testing (General)
275,How Is The Size Of A Liquid Penetrant Indication Usually Related To The Discontinuity It Represents,Larger than,Smaller than,Equal to,Not related to,A,Penetrant Testing (General)
276,A Penetrant That Is Self-Emulsifying Is Called,Solvent removable,Water washable,Post-emulsified,Dual sensitivity method,B,Penetrant Testing (General)
277,A Penetrant Process Which Employs An Emulsifier As A Separate Step In The Penetrant Removal Process Is Called,Solvent removable,Water washable,Post-emulsified,Dual sensitivity method,C,Penetrant Testing (General)
278,A Penetrant Process In Which Excess Penetrant Is Removed With An Organic Solvent Is Called:,Solvent removable,Water washable,Post-emulsified,Dual method,A,Penetrant Testing (General)
279,Which Of The Following Statements Accurately Describes The Capabilities Of Liquid Penetrant Testing?,Liquid penetrant testing is useful for locating subsurface discontinuities in a test piece,Liquid penetrant testing is useful for locating discontinuities in porous materials,Liquid penetrant testing is useful for locating discontinuities which are open to the surface in non-porous materials,none of the above,C,Penetrant Testing (General)
280,Which Of The Following Discontinuity Types Could Typically Be Found With A Liquid Penetrant Test?,Internal slag in a weld,Internal slag in a casting,Sensitization in austenitic stainless steel,Fatigue cracks,D,Penetrant Testing (General)
281,"Which Of The Following Chemical Elements Are Normally Held To A Minimum In Liquid Penetrant Materials, When Testing Stainless Steel And Titanium?",Hydrogen,Chlorine,Carbon,Oil,B,Penetrant Testing (General)
282,Which Of The Following Chemical Elements Are Normally Held To A Minimum In Liquid Penetrant Materials When Testing Nickel Based Alloys?,Sulphur,Oxygen,Carbon,Nitrogen,A,Penetrant Testing (General)
283,Which Of The Following Is The Most Desirable Method Of Pre-Cleaning A Test Piece Prior To Penetrant Testing?,Sand blasting,Vapour degreasing,Emery cloth,Wire brushing,B,Penetrant Testing (General)
284,A Wire Brush Should Be Used For Pre-Cleaning:,When grease and oil must be removed,Only as a last resort,When rust is to be removed,When grinding burrs must be removed,C,Penetrant Testing (General)
285,A Hydrometer Is Used To Measure:,Penetrant viscosity,Specific gravity of water based wet developers,Penetrant specific gravity,Cleaner specific gravity,B,Penetrant Testing (General)
286,"Visible, Solvent Removable Penetrants Are Most Advantageous For:",Inspecting parts with rough surfaces,Inspecting batches of small parts,Inspecting parts at remote locations,Inspecting parts with porous surfaces,C,Penetrant Testing (General)
287,"For Adequate Test Results, The Black Light Used In Fluorescent Penetrant Examination Should Provide What Minimum Black Light Intensity At The Test Surface?",100 foot candles per square centimetre,1000 microwatts per square centimetre,800 foot candles,35 microwatts per square centimetre,B,Penetrant Testing (General)
288,What Minimum Warm-Up Time Is Required For Acceptable Performance Of A Mercury Vapour Arc Black Light?,None,2 minutes,5 minutes,10 minutes,C,Penetrant Testing (General)
289,Which Of The Following Penetrants Contains An Emulsifying ,Solvent removable,Water washable,Post emulsifiable,Fluorescent,B,Penetrant Testing (General)
290,Which Of The Following Penetrants Must Be Treated With An Emulsifier Prior To Water Removal?,Solvent removable,Water washable,Post emulsifiable,Fluorescent,C,Penetrant Testing (General)
291,What Is The Function Of An Emulsifier?,To remove the excess penetrant,To develop indications with a post emulsifiable penetrant system,To assist penetration with a post emulsifiable penetrant system,To make a post emulsifiable penetrant water washable,D,Penetrant Testing (General)
292,An Oil Based Emulsifier Is Called,Hydrophilic,Hydrophobic,Lipophilic,Fluoroscopic,C,Penetrant Testing (General)
293,A Water Based Emulsifier Is Called:,Hydrophilic,Hydrophobic,Lipophilic,Fluoroscopic,A,Penetrant Testing (General)
294,"Methylene Chloride, Isopropyl, Alcohol, Naptha And Mineral Spirits Are Examples Of:",Emulsifiers,Developers,Solvent removers,None of the above,C,Penetrant Testing (General)
295,What Type Of Solvent Removers May Be Used With A Solvent Removable Penetrant?,Any organic solvent,Only the cleaner recommended by the manufacturer of the penetrant,Any alcohol based solvents,Only chlorinated hydrocarbons,B,Penetrant Testing (General)
296,Which Of The Following Is A Prerequisite For A Penetrant Test?,"Developer must be applied in a thin, even coat",Any surface coatings or soils must be completely removed,All traces of penetrant materials should be removed after testing is complete,The test object must be non-magnetic,B,Penetrant Testing (General)
297,Which Of The Following Types Of Pre-Cleaning Processes May Be Used For Liquid Penetrant Testing?,Wire brushing only,Detergent and water only,Vapour degreasing only,"Any process that leaves the part clean and dry, does not harm the part and is compatible with the penetrant materials",D,Penetrant Testing (General)
298,What Is The Likely Result Of Incomplete Removal Of All Excess Penetrant From The Test Piece Surface?,Formation of false indications,Formation of relevant indications,Exaggeration of the size of relevant indications,None of the above,A,Penetrant Testing (General)
299,What Is The Preferred Pre-Cleaning Process For Removal Of Oil And Grease :,Steam cleaning with a added acid,Vapour degreasing,Steam cleaning,Ultrasonic cleaning,B,Penetrant Testing (General)
300,Which Pre-Cleaning Method May Be Used With Either A Solvent Or A Detergent Solution?,Ultrasonic cleaning,Steam cleaning,Detergent wash,Vapour degreasing,A,Penetrant Testing (General)
301,What Is The Preferred Method Of Removing Paint Prior To Performing A Penetrant Testing?,Sand blast,Chemical removers,Power wire brush,Shot blast,B,Penetrant Testing (General)
302,What Additional Surface Preparation Or Cleaning Must Be Performed On A Machined Or Ground Aluminium Casting Prior To Penetrant Testing?,Vapour degreasing,Etching,Detergent wash,Nothing,B,Penetrant Testing (General)
303,Acceptable Methods Of Penetrant Application Are:,Spraying,Dipping,Brushing,All of the above,D,Penetrant Testing (General)
304,The Time Period During Which Penetrant Remains On The Surface Of The Test Piece Is Called:,Dwell time,Soaking time,Fixing time,Development time,A,Penetrant Testing (General)
305,Excess Penetrant Removal Is A Two Step Process With Which Of The Following Penetrant Methods?,Water washable,Post emulsifiable,Solvent removable,Liquid oxygen applications,B,Penetrant Testing (General)
306,A Developer Aids Penetrant Bleed Out Because Of:,Adequate removal of the excess penetrant,Providing a contrasting background for visible dye indications,Capillary action,Proper emulsifier action,C,Penetrant Testing (General)
307,"In The Solvent Removable Penetrant Process, Excess Penetrant Is Removed With:",A water spray,A hydrophilic scrubber,A solvent spray,"Clean, lint free towels slightly moistened with solvent",D,Penetrant Testing (General)
308,Water Based Wet Developer Is Applied:,Immediately before removal of excess penetrant,Immediately after removal of excess penetrant,After a drying period following removal of excess penetrant,For maximum sensitivity results,B,Penetrant Testing (General)
309,Non-Aqueous Wet Developer Is Applied,Immediately before removal of excess penetrant,Immediately after removal of excess penetrant,After the excess penetrant is removed and part surface is dried,For maximum sensitivity results,C,Penetrant Testing (General)
310,Dry Developer Is Applied:,Immediately before removal of excess penetrant,Immediately after removal of excess penetrant,After drying of the part,For maximum sensitivity results,C,Penetrant Testing (General)
311,Typical Ranges Of Emulsifier Dwell Times Are:,5 to 10 minutes,30 seconds to 1 minute,1 to 3 minutes,5 to 10 minutes,C,Penetrant Testing (General)
312,Actual Emulsification Times Are Determined By:,"Experiment, during technique qualification",Manufacturer's recommendations,Code requirements,None of the above,A,Penetrant Testing (General)
313,The Colour Of Fluorescent Penetrant Under The Presence Of A UV Light Is:,Yellow-green,Red,Blue,Green,A,Penetrant Testing (General)
314,What Action Is Necessary If The Penetrant Is Inadvertently Allowed To Dry On The Test Piece?,"Repeat the test, beginning with the pre-cleaning operation","Re-wet the penetrant, begin dwell time again and continue",Clean the penetrant off the surface and develop normally,"Clean the penetrant off the surface, wait 5 minutes and develop normally",A,Penetrant Testing (General)
315,What Maximum Water Rinse Pressure Is Considered Safe For Removal Of Excess Penetrant In The Water Washable Penetrant Process?,"As low a pressure as possible, 50 PSI maximum",to 200 PSI,PSI maximum,to 500 PSI,A,Penetrant Testing (General)
316,"During The Water Rinse Step Of The Water Washable Penetrant Process, What Is The Desired Angle Of The Spray To The Surface?",Normal,30 degree,45 degree,75 degree,C,Penetrant Testing (General)
317,Which Type Of Emulsifier Is Designed To Be Used As A ‘Scrubber’?,Hydrophilic,Hydrophobic,Lipophilic,Fluoroscopic,A,Penetrant Testing (General)
318,Post Cleaning Is Especially Important When:,Post emulsified penetrants are used,Phosphate containing detergents are used,Chlorinated hydrocarbons are used,The test object will be used in a liquid oxygen environment,D,Penetrant Testing (General)
319,"When Using A Hydrophilic Emulsifier, The Amount Of Penetrant Removed Is Most Affected By:",Solution strength and time of spray,Penetrant dwell time,Emulsifier dwell time,Adequacy of pre-clean,A,Penetrant Testing (General)
320,"If A Mercury Vapour Arc Black Light Is Inadvertently Turned Off, How Soon May It Be Restarted?",Immediately,5 minutes,10 minutes,15 minutes,C,Penetrant Testing (General)
321,Which Of The Following Is Normally Prohibited As A Method Of Removing Excess Penetrant When Using The Solvent Removable Penetrant Process?,A water spray,A hydrophilic scrubber,A solvent spray,Clean with lint free towels moistened with solvent,C,Penetrant Testing (General)
322,Which Of The Following Is A Function Of A Developer,Providing a contrasting background for visible dye indications,Making the penetrant water washable,Penetrating into discontinuities open to the surface,Dissolve organic soils on the test piece surface,A,Penetrant Testing (General)
323,Which Of The Following Developers Is Applied Before The Drying Operation?,Dry,Non-aqueous wet,Water based wet,None of the above,C,Penetrant Testing (General)
324,The Most Sensitive Type Of Developer For The Detection Of Fine Discontinuities Is:,Water soluble,Non-aqueous wet,Dry,Water suspendable,B,Penetrant Testing (General)
325,Low Sulphur And Chlorine Penetrant Materials Would Be Used For Testing:,"Aluminium, steel and plastics","Tool steels, chrome vanadium steel and ferritic stainless steels","Austenitic stainless steels, nickel alloys and titanium",Magnetic materials,C,Penetrant Testing (General)
326,Which Type Of Developer May Be Either In Suspension Or A Solution?,Dry,Non-aqueous wet,Water based wet,None of the above,C,Penetrant Testing (General)
327,The Temperature Of Water Rinse Used In The Water Washable Penetrant Process Should Be:,60 to 110 ?C,40 to 100 ?C,16 to 43 ?C,70 to 140 ?C,c,Penetrant Testing (General)
328,The Danger Of Over Washing During A Water Washable Penetrant Test Is That:,Excess penetrant will be removed from the test piece,Penetrant will be removed from discontinuities,The waste water will contain too high a concentration of penetrants,A protective oxide coating on the test piece is formed,B,Penetrant Testing (General)
329,Which Penetrant Process Is Best Suited To High Production Rates Of Many Small Parts?,Solvent removable,Water washable,Post emulsifiable,Fluorescent,B,Penetrant Testing (General)
330,Number & Recording Procedure Is Included In:,Pre inspection procedure,Intra inspection procedure,Post inspection procedure,None of above,A,API RP 7G-2
331,The Color Band For The Scrap Drill Pipe Shall Be Marked With:,One yellow band,One Red band,One Blue Band,One White band,B,API RP 7G-2
332,DC- Energized Yoke Shall Be Capable Of Lifting ______ Lbs. Weight.,20lbs,30lbs,40lbs,50lbs,C,API RP 7G-2
333,Pipe Shall Not Be Crooked More Than ____ Inches In Entire Length.,0.5 inches,2 inches,3 inches,5 inches,C,API RP 7G-2
334,During The Process Of OD Gauging The Pipe Shall Be Rolled At At Least 180 Degrees Every ____ Feet Of Gauging.,2 feet,2.5 feet,3 feet,3.5 feet,B,API RP 7G-2
335,Bsrs Acceptable Value For BHA Larger Than 8 Inches Is From ____ To ____:,"1,90 to 2,50","2,25 to 2,75","2,50 to 3,20","2,70 to 3,50",C,API RP 7G-2
336,Surface Coating Of Paint Band Shall Be Smooth & Shall Have A Thickness Equal To Or Less Than _____ Inches.,0.001 in,0.002 in,0.003 in,0.004 in,B,API RP 7G-2
337,Which Penetrant Process Is Best Suited To Detect Shallow Discontinuities?,Solvent removable,Water washable,Post emulsifiable,Fluorescent,C,Penetrant Testing (General)
338,Which Penetrant Process Is Best Suited For Portable Application In The Field?,Solvent removable,Water washable,Post emulsifiable,Fluorescent,A,Penetrant Testing (General)
339,Which Penetrant Process Should Be Used If Repeated Examinations Are Anticipated?,Solvent removable,Water washable,Post emulsifiable,Fluorescent,A,Penetrant Testing (General)
340,What Is A Disadvantage Of Using The Fluorescent Penetrant Process?,Lower visibility of indications,Must be performed in a darkened area with aid of a UV lamp,Easily washed with water,High visibility of indications,B,Penetrant Testing (General)
341,"Which Of The Following Developers Is Applied By Brush, Spraying Or Dipping?",Non-aqueous wet,Water based wet,Dry,Dual sensitivity,B,Penetrant Testing (General)
342,Which Of The Following Developers Is Applied By Spray Only?,Non-aqueous wet,Water based wet,Dry,Dual sensitivity,A,Penetrant Testing (General)
343,Which Of The Following Developers Is Applied By Immersion Or Flow On Only?,Non-aqueous wet,Water based wet,Dry,Dual sensitivity,B,Penetrant Testing (General)
344,What Is The Minimum Time Considered Necessary For Dark Adaptation Of The Eyes Prior To Evaluating The Results Of A Fluorescent Penetrant Test?,1 minute,2 minute,5 minute,10 minute,C,Penetrant Testing (General)
345,What Is The Likely Result Of Looking Directly Into A Black Light?,Burning of the retina of the eye,Temporary inflammation of the cornea,Long term tendency toward formation of cataracts,Fluorescence of the fluid in the eye,D,Penetrant Testing (General)
346,Which Type Of Penetrant Process Affords Most Control Of Test Sensitivity Level?,Solvent removable,Water washable,Post emulsifiable,Fluorescent,C,Penetrant Testing (General)
347,Which Type Of Penetrant Process Is Least Susceptible To Over Washing?,Solvent removable,Water washable,Post emulsifiable,Fluorescent,C,Penetrant Testing (General)
348,What Is A Disadvantage Of The Solvent Removable Penetrant Process?,It is the least sensitive of the penetrant processes,It is not well suited for use on rough surfaces,It is highly portable,No water is required for its use,B,Penetrant Testing (General)
349,Which Of The Following Is The Proper First Step In Removal Of Excess Penetrant When Using The Solvent Removable Penetrant Process?,Immerse the test piece in solvent,Spray the test piece with water,"Wipe the test piece surface with clean, lint free towels slightly moistened",All of the above is correct,C,Penetrant Testing (General)
350,"In 5ct, Data Is Expressed In?",SI units (Standard International System). ,USC units (United States Customary System),Only in one system at a time.,In both the system at a time,C,API SPEC 5CT & 5A5
351,What Does It Mean By “CARLOAD”?,Load of a motor car.,Full loaded car.,Quantity of pipes loaded on a railway-car for shipment from the pipe-making facility.,Actual load of a railway car,C,API SPEC 5CT & 5A5
352,Connection Is Defined As?,Pin end,Box end,Threaded assembly of tubular components,None of the above,C,API SPEC 5CT & 5A5
353,“Cv” Means By?,Curriculum Vitae.,Challah Voucher,Calibrated Vernier.,Charpy V-notch impact test,D,API SPEC 5CT & 5A5
354,Abbreviation “SSCC” Means By?,Secondary School Certificate Course.,Sulfide Stressed Corrosion cracking.,Stainless Steel Corrosion Cracking.,None of the above.,B,API SPEC 5CT & 5A5
355,The Test Temperature For Grades J55 & K55 Is?,0 °C,21 °C,18 °C,22 °C,B,API SPEC 5CT & 5A5
356,"For Grade C90 & T95; If The Hardness Value Is Less Than 27.00 HRC, Then The Pipe Shall Be?",Rejected,Repaired ,Accepted,Reworked,A,API SPEC 5CT & 5A5
357,Special-Bevel Couplings Shall Be Beveled On Both Ends?,10°,12°,15°,20°,D,API SPEC 5CT & 5A5
358,All Couplings Shall Be Inspected On The Outside And Inside Surface After Finish Machining And Before Any Surface Plating; Using The Wet Fluorescent Magnetic Particle Method In Accordance With?,ISO 13665,ASTM E 709,a or b,None of the above,C,API SPEC 5CT & 5A5
359,The Yield Strength Shall Be The?,The tensile stress required to produce elongation under load. ,The tensile stress required to produce break-down under load. ,The tensile stress required to produce brightness under load. ,The tensile stress required to produce straightness under load. ,A,API SPEC 5CT & 5A5
360,Which Type Of Crack In Steel; Resulting From Stresses Produced During The Transformation From Austenite To Martensite?,Cold crack,Hot crack,Transverse crack,Quench crack,D,API SPEC 5CT & 5A5
361,Threaded Assembly Of Tubular Components Is Called?,Box end ,Pin end,Upset body,Connection ,D,API SPEC 5CT & 5A5
362,What Does It Means By “HEAT” In Relation With Manufacturing Process?,High temperature of furnace during manufacturing,High temperature during operation process.,Environmental working temperature.,Metal produced by a single cycle of a batch melting process.,D,API SPEC 5CT & 5A5
363,What Does It Means By “ANSI”?,American Society for Non-destructive Inspection.,American Non-Standard Institute.,American National Society for Inspectors.,American National Standard Institute,D,API SPEC 5CT & 5A5
364,The Procedure For Maintaining Heat And/Or Lot Identity Until All Required Heat And/Or Lot Tests Are Performed And Conformance With Specification Requirements?,Manufacturing required.,Identification procedure.,Record keeping.,Traceability.,D,API SPEC 5CT & 5A5
365,“SHALL” Is Used To Indicate That A Provision Is?,Mandatory.,Non-Mandatory.,Optional,None of the above,A,API SPEC 5CT & 5A5
366,What Is The Dimension Of CHARPY IMPECT SPECIMEN?,08.00 mm x 08.00 mm.,09.00 mm x 09.00 mm.,10.00 mm x 10.00 mm.,11.00 mm x 11.00 mm.,A,API SPEC 5CT & 5A5
367,According To API 5CT; The Products Shall Be Marked With?,Stenciling,Stamping,a + b,None of the above.,C,API SPEC 5CT & 5A5
368,Color Coding For “J55” Casing Is?,One bright green band.,two  bright green bands.,One purple band.,One orange and one green  band.,A,API SPEC 5CT & 5A5
369,Color Coding For “P110” Casing Is?,One green band,One White band,One Silve band,One Purple band,B,API SPEC 5CT & 5A5
370,The Inspector Representing The “PURCHASER” Shall Have----------------------- All The Times While Work On The Contract Of The Purchaser Is Being Performed?,Restricted access,Unrestricted access,No access at all.,None of the above.,B,API SPEC 5CT & 5A5
371,The Net Effective Wall Thickness Of Casing/Tubing Shall Not Be Less Than?,86.00%,87.00%,87.50%,88.00%,C,API SPEC 5CT & 5A5
372,T&C Is An Abbreviation Of:,Threaded & Coupled ,Trough & Crust,Tubing & Casing,None of These,A,API SPEC 5CT & 5A5
373,The Minimum Length Of Casing Smaller Than 9 5/8 Is:,6,10,12,14,A,API SPEC 5CT & 5A5
374,The Size Of Casing Is Between 9 5/8 To 13 3/8 The Diameter Of Drift Would Be:,D-5/32,D-1/8,D-3/16,None of these,A,API SPEC 5CT & 5A5
375,"Thread Crest Which Has Portions That Are Chipped, Rough & Ragged Is Known As",Torn Thread,Galled Thread,Pitted Thread,All of the portions,B,API SPEC 5CT & 5A5
376,The Coupling End Of Threaded & Couple OCTG Is:,Pin Side,Box Side,External Threads,Internal Threads,C,API SPEC 5CT & 5A5
377,RP 5A3 Standard Is Used For:,"Thread Compounds for Casing, Tubing & Line pipes",Caring & use of casing & Tubing,"Performance properties of casing, tubing & drill pipes",None  of above ,A,API SPEC 5CT & 5A5
378,What Is The Minimum Drift Length Of Tubing? ,45”,43”,42”,41”,C,API SPEC 5CT & 5A5
379,If The Size Of Casing Is From 9 5/8” To 13 3/8” What Would Be The Length Of The Drift?,6”,15”,14”,12”,D,API SPEC 5CT & 5A5
380,In Which Table Of 5CT Standard Drift Size Is Mentioned In Mm?,C.28,C.29,C.30,C.31,A,API SPEC 5CT & 5A5
381,The Maximum Permissible Depth Of Linear External Imperfections For Grade L-80 Is:,12.50%,0.50%,7.50%,10%,A,API SPEC 5CT & 5A5
382,What Colour Bands Should Be Grade L-80 & Grade Type 9Cr?,"One red, one brown, two yellow","One red, one brown, one yellow","One brown, one purple, one yellow","One red, one drak green ",A,API SPEC 5CT & 5A5
383,What Would Be The Marked Symbol Of Buttress Thread Connection,BT,SL,LC,None of the above,D,API SPEC 5CT & 5A5
384,How Much Tolerance Of Drift Required For Different Sizes Of Casing If It Is Less Than 9 5/8”,d – 15/32”,"d – 1/8""","d-3/16""",d – 5/8”,B,API SPEC 5CT & 5A5
385,What Would Be The Colour Coding Of Grade L-80 And Grade Type 1; ,One purple band ,One silver band ,One red band ,One white band ,A,API SPEC 5CT & 5A5
386,Tubing Is Defined As;,Pipe run from the surface and intended to line the walls of a drilled well,Wrought steel tubular product made without a weld seam,Pipe placed in a well to produce or inject fluids,Both b and c         ,C,API SPEC 5CT & 5A5
387,Casing Is Defined As,Pipe having one longitudinal seam formed by electric resistance or electric induction welding without the addition of filler metal,Pipe run from the surface and intended to line of walls of a drilled well,Wrought steel tubular product made without a weld seam, None of the above.,B,API SPEC 5CT & 5A5
388,Which Of The Following Is The Inspection Standard For Casing And Tubing,API 5CT,API 5A5,API 5C1,None of the above ,B,API SPEC 5CT & 5A5
389,Table E.28 Defines,"Ranges, lengths of casing and tubing",Standard size of drift for casing and tubing,Depth of linear imperfections,Colour coding of casing and tubing ,B,API SPEC 5CT & 5A5
390,Drifting Of Casing And Tubing Is Done,To check internal clearance,For cleaning purpose,To clear the internal diameter of any obstruction,All of the above,A,API SPEC 5CT & 5A5
391,Which Of The Following Is A Method Of Stamp Marking,Hot rolled or hot stamped marking,Cold die stamping with standards dies,Vibratory marking,All of the above,D,API SPEC 5CT & 5A5
392,Decimal Separator In SI Is Used As,Dot,Exclamation Mark,Comma,both a and b,C,API SPEC 5CT & 5A5
393,Decimal Separator In USC System Is Used As,Dot,Comma ,Both a and b,None of the above,A,API SPEC 5CT & 5A5
394,ASNT SNT-TC-1A Is A Recommended Practice For,Welded pipe and tubing,Non-destructive testing,Testing apparatus,Testing of metal pipe and tubing,B,API SPEC 5CT & 5A5
395,“May” Is Used To Indicate,Mandatory,Recommended,Optional,None of the above,C,API SPEC 5CT & 5A5
396,What Should Be The Diameter Of Drift For Casing Size Greater Than >13 3/8”,d – 1/8”,d – 5/32”,d – 3/16”,d – 5/16”,C,API SPEC 5CT & 5A5
397,Coupling Speed Shall Not Exceed,5 r/min,10 r/min,15 r/min,20r/min,B,API SPEC 5CT & 5A5
398,At Rig Side Usually The Measurement Of Casing Is Taken As,Running length,Mill length,Full length,Both b and c,A,API SPEC 5CT & 5A5
399,Colour Code Of T-95 Casing Is,One white band,One silver band,One orange band,One red band,B,API SPEC 5CT & 5A5
400,Marked Symbol Of Integral Joint Is,NU,IU,IG,IJ,D,API SPEC 5CT & 5A5
401,What Would Be The Stamp Marking Height In Pipe If It Is Less Than 4 ½”,3/16”,3/8”,5/16”,7/16”,A,API SPEC 5CT & 5A5
402,When Enquiring Or Placing Order For Pipe Manufactured In Accordance With The Standard The Purchaser Shall Specify Which Of The Following,Standard ,Quantity,Type of pipe and coupling,All of the above,D,API SPEC 5CT & 5A5
403,PSL Is The Abbreviation For,Product special level,Product specification level,Pipe Seamless line,None of the above,B,API SPEC 5CT & 5A5
404,In Case Of “No Drift Pass” What Colour Band Shall Be Marked On The Casing Joint,Green band,Blue band,Yellow band,Red band,D,API SPEC 5CT & 5A5
405,What Would Be The Diameter Of Drift If The Tubing Size Is  2 7/8”? ,d – 3/32”,d – 5/32”,d – 1/8”,d – 7/32”,A,API SPEC 5CT & 5A5
406,API 5A5 Standard Is Used For,For Manufacturing of Casing & tubing,For Field inspection of Casing & tubing,Both a & b,None of above,B,API SPEC 5CT & 5A5
407,The Active Magnetic Field Produce By Alternating Current Is Known As:,DC Field,Active Field,AC Field,Both b & c,C,API SPEC 5CT & 5A5
408,Current That Reverses Its Direction If Flow After Regular Intervals Is Known As,AC Current,DC Current,Both a & b,None of above,A,API SPEC 5CT & 5A5
409,ASNT Is An Abbreviation Of,American Society for national testing,Australian Society for Non-destructive testing,Australian Society for national testing,American Society for Non-destructive testing,D,API SPEC 5CT & 5A5
410,Current That Flows Through One Direction Only In Conductor Is Known As,AC current ,DC Current ,Both a & b,None of these,B,API SPEC 5CT & 5A5
411,A Thread On Outside Surface Of OCTG Is,Internal Thread,BTC Thread,External Thread,Both a & b,C,API SPEC 5CT & 5A5
412,The Process Of Examine OCTG For Possible Defects & For Deviations From Established Standard Is Known As:,Inspection,Calibration,Maintenance,Both a & b,A,API SPEC 5CT & 5A5
413,A Thread On Inside Surface Of OCTG Is,Internal Flash Thread,External Thread,Helix Thread,Internal Thread,D,API SPEC 5CT & 5A5
414,The Abbreviation If OCTG Is,Oil Country tubular goods,Oil Company Tubular grades,Oil Country tube Generations,Both a & b,A,API SPEC 5CT & 5A5
415,The Remaining Magnetic Field Retained By Ferromagnetic Materials After They Have Been Exposed To Magnetic Field,Permanent Magnetism,Residual Magnetism,Temporary Magnetism,None of these,B,API SPEC 5CT & 5A5
416,A Non-Destructive Method Of Inspecting Materials By Use Of High Frequency Sound Waves Is:,Eddy Current Testing,Ultrasonic Testing,Magnetic Testing,Radiographic Testing,B,API SPEC 5CT & 5A5
417,The Unit Potential Causing The Flow Of Current Is Known As:,Ohm,Ampere,Voltage,None of these,B,API SPEC 5CT & 5A5
